depth,Stmax,Stavg,EndP,MaxP,MaxV,RanV,RtUp,RtDn,TINDVI,Easting_32632,Northing_32632,elev,asp,slo,tri,Al05Fe
0.300000,131.800000,89.500000,20.000000,14.000000,0.942924,0.354876,0.050697,0.057670,2.861681,507000.973959,5084730.891468,957.000000,46.301952,38.900917,7.500000,0.285951
0.525000,131.800000,89.500000,20.000000,14.000000,0.942924,0.354876,0.050697,0.057670,2.861681,507000.973959,5084730.891468,957.000000,46.301952,38.900917,7.500000,0.293453
0.050000,128.700000,70.200000,21.000000,14.000000,0.820546,0.240873,0.037047,0.034410,1.883759,701932.570902,5161805.514446,1335.000000,121.373001,30.013018,4.375000,0.259753
0.150000,128.700000,70.200000,21.000000,14.000000,0.820546,0.240873,0.037047,0.034410,1.883759,701932.570902,5161805.514446,1335.000000,121.373001,30.013018,4.375000,0.267255
0.300000,128.700000,70.200000,21.000000,14.000000,0.820546,0.240873,0.037047,0.034410,1.883759,701932.570902,5161805.514446,1335.000000,121.373001,30.013018,4.375000,0.248578
0.590000,128.700000,70.200000,21.000000,14.000000,0.820546,0.240873,0.037047,0.034410,1.883759,701932.570902,5161805.514446,1335.000000,121.373001,30.013018,4.375000,0.123560
0.050000,132.100000,87.300000,20.000000,14.000000,0.922215,0.357435,0.051062,0.056498,2.837926,536900.873155,5084775.272027,1259.000000,206.565048,13.975425,2.250000,0.423102
0.150000,132.100000,87.300000,20.000000,14.000000,0.922215,0.357435,0.051062,0.056498,2.837926,536900.873155,5084775.272027,1259.000000,206.565048,13.975425,2.250000,0.380001
0.250000,132.100000,87.300000,20.000000,14.000000,0.922215,0.357435,0.051062,0.056498,2.837926,536900.873155,5084775.272027,1259.000000,206.565048,13.975425,2.250000,0.175379
0.050000,158.000000,106.800000,20.000000,14.000000,0.902888,0.330942,0.047277,0.053353,2.656730,554910.778128,5084785.473847,812.000000,177.510437,71.942902,11.250000,0.364158
